Month_Year,Product,Production,Detail,Actual,Standard
FEB_2024,Singha 5.0%,BEER CN 320ml (Export),Lid,2.5100,2.5479
FEB_2024,Singha 5.0%,BEER CN 320ml (Export),Can,7.0677,7.4442
FEB_2024,Singha 5.0%,BEER CN 320ml (Export),Tray,0.3680,0.3673
FEB_2024,Singha 5.0%,BEER CN 320ml (Export),Cluster Pack,2.4219,2.4219
FEB_2024,Singha 5.0%,BEER CN 320ml (Export),Packaging-Other,1.1753,1.6353
FEB_2024,Singha 5.0%,BEER CN 320ml (Export),Miscellaneous,0.0248,0.0392
FEB_2024,Singha 5.0%,BEER CN 320ml (Export),Repair&Maintenance,0.0740,0.2993
FEB_2024,Singha 5.0%,BEER CN 320ml (Export),Overtime,0.1616,0.1126
FEB_2024,Singha 5.0%,BEER KEG 30L (Export),Malt,0,0
FEB_2024,Singha 5.0%,BEER KEG 30L (Export),Hop,0,0
FEB_2024,Singha 5.0%,BEER KEG 30L (Export),Additive,0,0
FEB_2024,Singha 5.0%,BEER KEG 30L (Export),Syrup,0,0
FEB_2024,Singha 5.0%,BEER KEG 30L (Export),RM Oth-Water,0,0
FEB_2024,Singha 5.0%,BEER KEG 30L (Export),RM Oth-WT&CO2,0,0
FEB_2024,Singha 5.0%,BEER KEG 30L (Export),Fuel,0.1490,0.1332
FEB_2024,Singha 5.0%,BEER KEG 30L (Export),Power&Utilities,0.1607,0.0764
FEB_2024,Singha 5.0%,BEER KEG 30L (Export),Chemicals-Lab,0.0018,0.0019
FEB_2024,Singha 5.0%,BEER KEG 30L (Export),Chemicals-CIP,0.0184,0.0260
FEB_2024,Singha 5.0%,BEER KEG 30L (Export),Chemicals-Filling,0,0.0001
FEB_2024,Singha 5.0%,BEER KEG 30L (Export),Chemicals-WWT,0.0006,0.0007
FEB_2024,Singha 5.0%,BEER KEG 30L (Export),Cap,0.1000,0.1000
FEB_2024,Singha 5.0%,BEER KEG 30L (Export),Sticker,0.0859,0.0424
FEB_2024,Singha 5.0%,BEER KEG 30L (Export),Lid,0,0
FEB_2024,Singha 5.0%,BEER KEG 30L (Export),Can,0,0
FEB_2024,Singha 5.0%,BEER KEG 30L (Export),Tray,0,0
FEB_2024,Singha 5.0%,BEER KEG 30L (Export),Cluster Pack,0,0
FEB_2024,Singha 5.0%,BEER KEG 30L (Export),Packaging-Other,0.0252,0.0360
FEB_2024,Singha 5.0%,BEER KEG 30L (Export),Miscellaneous,0.0248,0.0247
FEB_2024,Singha 5.0%,BEER KEG 30L (Export),Repair&Maintenance,0.1446,0.3607
FEB_2024,Singha 5.0%,BEER KEG 30L (Export),Overtime,0.1812,0.1273
